timestamp,demand_mwh,pv_cf,wind_cf,weight,p_pv,p_wind,curt_pv,curt_wind,p_oil,p_gas,nse,reserve_shortfall,charge_total,discharge_total,soc_total,charge_2,discharge_2,soc_2,charge_4,discharge_4,soc_4,charge_8,discharge_8,soc_8
2019-01-01 00:00:00,754.0637537312675,0.0,0.596,1.0,-0.0,449.8039068208692,0.0,0.0,0.0,304.2598469103983,0.0,0.0,0.0,0.0,3405.5009172124105,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,3405.5009172124105
2019-01-01 01:00:00,727.4769594848002,0.0,0.596,1.0,-0.0,449.8039068208692,0.0,0.0,0.0,277.673052663931,0.0,0.0,0.0,0.0,3405.5009172124105,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,3405.5009172124105
2019-01-01 02:00:00,671.7359518825708,0.0,0.596,1.0,-0.0,449.8039068208692,0.0,0.0,0.0,221.93204506170161,0.0,0.0,0.0,0.0,3405.5009172124105,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,3405.5009172124105
2019-01-01 03:00:00,633.2211471858392,0.0,0.601,1.0,-0.0,453.57742952909797,0.0,0.0,0.0,179.64371765674122,0.0,0.0,0.0,0.0,3405.5009172124105,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,3405.5009172124105
2019-01-01 04:00:00,612.0357447131297,0.0,0.581,1.0,-0.0,438.48333869618284,0.0,0.0,0.0,173.55240601694686,0.0,0.0,0.0,0.0,3405.5009172124105,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,3405.5009172124105
2019-01-01 05:00:00,607.8545079754467,0.0,0.532,1.0,-0.0,401.502816155541,0.0,0.0,0.0,206.35169181990574,0.0,0.0,0.0,0.0,3405.5009172124105,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,3405.5009172124105
2019-01-01 06:00:00,597.577308970712,0.0,0.454,1.0,-0.0,342.63586190717217,0.0,0.0,0.0,254.94144706353984,0.0,0.0,0.0,0.0,3405.5009172124105,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,3405.5009172124105
2019-01-01 07:00:00,615.4994195580597,0.003,0.367,1.0,7.518395832070929,276.9765667839916,0.0,0.0,0.0,331.00445694199715,0.0,0.0,0.0,0.0,3405.5009172124105,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,3405.5009172124105
2019-01-01 08:00:00,678.5671216583152,0.049,0.267,1.0,122.8004652571585,201.50611261941626,0.0,0.0,0.0,354.26054378174035,0.0,0.0,0.0,0.0,3405.5009172124105,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,3405.5009172124105
2019-01-01 09:00:00,742.7701904199176,0.103,0.175,1.0,258.13159023443524,132.07329478800688,0.0,0.0,0.0,352.5653053974756,0.0,0.0,0.0,0.0,3405.5009172124105,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,3405.5009172124105
