timestamp,demand2019,demand2030,pv_cf,wind_cf
2019-01-04 06:00:00,486.981852,723.3396940074603,0.0,0.947
2019-01-04 07:00:00,573.46262475,851.7941229386512,0.022,0.942
2019-01-04 08:00:00,638.698053,948.6917270588158,0.08,0.934
2019-01-04 09:00:00,677.4314752500001,1006.2245112541841,0.156,0.935
2019-01-04 10:00:00,697.2591085,1035.6755351661534,0.195,0.944
2019-01-04 11:00:00,719.4009815,1068.5640207940985,0.218,0.939
2019-01-04 12:00:00,702.28962975,1043.1476323022764,0.18,0.913
2019-01-04 13:00:00,696.39406075,1034.3906343588296,0.127,0.845
2019-01-04 14:00:00,700.11986025,1039.924759828177,0.088,0.734
2019-01-04 15:00:00,707.9203,1051.5111622345826,0.028,0.57
2019-01-04 16:00:00,731.6639835000001,1086.7789010362742,0.0,0.38
2019-01-04 17:00:00,786.42438675,1168.1174009575816,0.0,0.277
2019-01-04 18:00:00,787.31956025,1169.447049121911,0.0,0.227
2019-01-04 19:00:00,764.71224125,1135.8672121308007,0.0,0.185
2019-01-04 20:00:00,726.60471125,1079.264098531446,0.0,0.152
2019-01-04 21:00:00,684.95795375,1017.40398464274,0.0,0.133
2019-01-04 22:00:00,630.202884,936.0734068488018,0.0,0.122
2019-01-04 23:00:00,578.3441055,859.044842400797,0.0,0.108
2019-01-05 00:00:00,508.1125125,754.7261726564542,0.0,0.095
2019-01-05 01:00:00,454.6060885,675.2502739044953,0.0,0.087
2019-01-05 02:00:00,424.72366999999997,630.8643499419882,0.0,0.093
2019-01-05 03:00:00,409.4056505,608.1116919272696,0.0,0.117
2019-01-05 04:00:00,407.13766499999997,604.7429340755225,0.0,0.149
2019-01-05 05:00:00,423.23910725,628.6592510026547,0.0,0.207
2019-01-05 06:00:00,438.93615175,651.9748947352091,0.0,0.285
2019-01-05 07:00:00,485.6629095,721.380599514626,0.041,0.361
2019-01-05 08:00:00,529.9488435,787.1608207217082,0.213,0.417
2019-01-05 09:00:00,575.72346475,855.1522672043635,0.36,0.518
2019-01-05 10:00:00,598.4110165,888.8512781084155,0.366,0.6
2019-01-05 11:00:00,615.1669045,913.7396776431548,0.359,0.637
2019-01-05 12:00:00,605.6106665,899.5452959790462,0.311,0.67
2019-01-05 13:00:00,596.32834725,885.7577802053073,0.219,0.683
2019-01-05 14:00:00,579.1191855,860.196109388938,0.141,0.656
2019-01-05 15:00:00,575.306735,854.5332766431942,0.049,0.604
2019-01-05 16:00:00,630.3698145,936.3213574783675,0.0,0.535
2019-01-05 17:00:00,713.3298635,1059.546270710871,0.0,0.481
2019-01-05 18:00:00,728.1222065,1081.5181138408147,0.0,0.444
2019-01-05 19:00:00,713.352851,1059.5804152506475,0.0,0.436
2019-01-05 20:00:00,688.17392175,1022.1808306371115,0.0,0.45
2019-01-05 21:00:00,663.3630455,985.3279344541713,0.0,0.479
2019-01-05 22:00:00,620.562428,921.7539317708425,0.0,0.536
2019-01-05 23:00:00,574.01433775,852.6136112028667,0.0,0.552
2019-01-06 00:00:00,504.14474800000005,748.8326438780479,0.0,0.514
2019-01-06 01:00:00,452.25750700000003,671.7618025855239,0.0,0.51
2019-01-06 02:00:00,420.93814125,625.241505483954,0.0,0.55
2019-01-06 03:00:00,403.368925,599.1450268286757,0.0,0.605
2019-01-06 04:00:00,401.90458725,596.9699691429356,0.0,0.693
2019-01-06 05:00:00,411.443595,611.1387578127437,0.0,0.795
2019-01-06 06:00:00,417.9320635,620.7764204896828,0.0,0.892
2019-01-06 07:00:00,449.73093725,668.0089559807731,0.028,0.947
2019-01-06 08:00:00,490.93440675,729.2106309462206,0.096,0.972
2019-01-06 09:00:00,532.82694725,791.4358192196947,0.077,0.979
2019-01-06 10:00:00,582.8084895,865.6760261774192,0.173,0.969
2019-01-06 11:00:00,631.8317607500001,938.492862943689,0.285,0.957
2019-01-06 12:00:00,635.71262225,944.2573101368779,0.28,0.956
2019-01-06 13:00:00,584.67457625,868.4478227303971,0.145,0.972
2019-01-06 14:00:00,565.6595385,840.2037895469485,0.13,0.982
2019-01-06 15:00:00,575.000973,854.079112302961,0.078,0.986
2019-01-06 16:00:00,620.48781925,921.6431114801611,0.0,0.985
2019-01-06 17:00:00,715.6431295,1062.9822860648844,0.0,0.979
2019-01-06 18:00:00,751.5037502499999,1116.2479474723707,0.0,0.971
2019-01-06 19:00:00,750.71170775,1115.0714851930518,0.0,0.967
2019-01-06 20:00:00,737.6973945,1095.7406429341245,0.0,0.962
2019-01-06 21:00:00,702.2391035,1043.07258301232,0.0,0.95
2019-01-06 22:00:00,637.09775475,946.3147201093337,0.0,0.927
2019-01-06 23:00:00,570.023444,846.685727335972,0.0,0.898
2019-01-07 00:00:00,492.44005325,731.4470466855764,0.0,0.872
2019-01-07 01:00:00,444.86263199999996,660.7778067800222,0.0,0.839
2019-01-07 02:00:00,420.19799925,624.1421337402159,0.0,0.788
2019-01-07 03:00:00,409.000701,607.5101991894695,0.0,0.73
2019-01-07 04:00:00,417.793865,620.5711470071253,0.0,0.654
2019-01-07 05:00:00,466.40368675,692.7738655396472,0.0,0.56
2019-01-07 06:00:00,560.95294875,833.2128448626614,0.0,0.45
2019-01-07 07:00:00,625.5681045,929.1891256963246,0.029,0.325
2019-01-07 08:00:00,672.297487,998.5987291546227,0.085,0.221
2019-01-07 09:00:00,688.04759575,1021.9931920016883,0.102,0.232
2019-01-07 10:00:00,695.283877,1032.741620189782,0.134,0.261
2019-01-07 11:00:00,714.40327375,1061.1406632710678,0.202,0.248
2019-01-07 12:00:00,738.2486445,1096.559443480149,0.17,0.217
2019-01-07 13:00:00,754.247636,1120.3235849332848,0.152,0.209
2019-01-07 14:00:00,745.0390745,1106.6456254152802,0.119,0.2
2019-01-07 15:00:00,751.13567825,1115.701230820078,0.05,0.155
2019-01-07 16:00:00,782.49743025,1162.284486442544,0.0,0.113
2019-01-07 17:00:00,854.187289,1268.769194812463,0.0,0.106
2019-01-07 18:00:00,874.70091675,1299.2391623456022,0.0,0.134
2019-01-07 19:00:00,865.0505352499999,1284.9049444017571,0.0,0.202
2019-01-07 20:00:00,835.76872875,1241.4111409536245,0.0,0.272
2019-01-07 21:00:00,789.29535875,1172.3818062931298,0.0,0.326
2019-01-07 22:00:00,706.95163725,1050.0723566316553,0.0,0.348
2019-01-07 23:00:00,620.82311975,922.1411509041653,0.0,0.302
2019-01-08 00:00:00,535.754871,795.78481797746,0.0,0.228
2019-01-08 01:00:00,481.30484175,714.9073328419518,0.0,0.202
2019-01-08 02:00:00,451.43024575,670.5330280490978,0.0,0.285
2019-01-08 03:00:00,440.01522625,653.5777007031022,0.0,0.476
2019-01-08 04:00:00,443.6509685,658.978059414221,0.0,0.623
2019-01-08 05:00:00,489.203891,726.6402051121999,0.0,0.665
2019-01-08 06:00:00,588.14696925,873.6055502304635,0.0,0.706
2019-01-08 07:00:00,663.837383,986.0324928287744,0.002,0.843
2019-01-08 08:00:00,737.89199875,1096.0296988364532,0.038,0.93
2019-01-08 09:00:00,769.567676,1143.0792441026576,0.082,0.972
2019-01-08 10:00:00,785.8637952500001,1167.2847249915105,0.253,0.989
2019-01-08 11:00:00,794.672963,1180.3694440186691,0.316,0.991
2019-01-08 12:00:00,784.053109,1164.5952177077388,0.385,0.991
2019-01-08 13:00:00,788.42140925,1171.0836832495056,0.337,0.987
2019-01-08 14:00:00,778.12506675,1155.7899855423761,0.235,0.983
2019-01-08 15:00:00,768.0867465,1140.8795418201655,0.085,0.98
2019-01-08 16:00:00,796.31751475,1182.8121830134364,0.0,0.974
2019-01-08 17:00:00,898.4291005,1334.4838785554327,0.0,0.967
2019-01-08 18:00:00,927.785398,1378.0883273939944,0.0,0.959
2019-01-08 19:00:00,916.0414005,1360.6443517649511,0.0,0.954
2019-01-08 20:00:00,883.13354225,1311.7645834137563,0.0,0.952
2019-01-08 21:00:00,831.347644,1234.8442718246984,0.0,0.952
2019-01-08 22:00:00,747.12894425,1109.7498185988086,0.0,0.952
2019-01-08 23:00:00,655.933097,974.2918421390079,0.0,0.956
2019-01-09 00:00:00,567.23361775,842.5418520401653,0.0,0.958
2019-01-09 01:00:00,508.20349975,754.8613207924747,0.0,0.959
2019-01-09 02:00:00,480.44831524999995,713.6350890943155,0.0,0.959
2019-01-09 03:00:00,467.23883925,694.0143613637083,0.0,0.953
2019-01-09 04:00:00,472.75033725,702.2008785007837,0.0,0.933
2019-01-09 05:00:00,521.22922875,774.2091194637977,0.0,0.896
2019-01-09 06:00:00,624.317328,927.3312817395815,0.0,0.853
2019-01-09 07:00:00,694.9209,1032.2024714082957,0.203,0.802
2019-01-09 08:00:00,745.8582015,1107.8623177234222,0.443,0.741
2019-01-09 09:00:00,766.548918,1138.5953244677992,0.602,0.677
2019-01-09 10:00:00,757.24836875,1124.7807307186335,0.7,0.621
2019-01-09 11:00:00,770.9294795000001,1145.1020022874707,0.734,0.567
2019-01-09 12:00:00,758.57596625,1126.7526809370474,0.715,0.497
2019-01-09 13:00:00,742.5824142499999,1102.9966190586422,0.645,0.425
